Peak#,X,Y,Phase
440,521,55,Tpp
441,335,251,Tpp
442,931,466,Tpp
443,290,356,Tpp
444,887,431,Tpp
445,85,447,Tpp
446,956,650,Tpp
447,412,960,Tpp
448,547,1018,Tpp
449,90,91,Tpp
450,855,1017,Tpp
451,258,813,Tpp
452,9,581,Tpp
453,251,424,Tpp
454,886,408,Tpp
455,539,639,Tpp
456,1010,95,Tpp
457,502,434,Tpp
458,212,822,Tpp
459,942,882,Tpp
460,257,135,Tpp
461,497,845,Tpp
462,41,456,Tpp
463,52,250,Tpp
464,875,131,Tpp
465,354,675,Tpp
466,297,457,Tpp
467,59,719,Tpp
468,546,239,Tpp
469,70,241,Tpp
470,931,742,Tpp
471,641,869,Tpp
472,382,845,Tpp
473,251,171,Tpp
474,841,211,Tpp
475,624,424,Tpp
476,39,136,Tpp
477,964,337,Tpp
478,708,387,Tpp
479,354,147,Tpp
480,657,64,Tpp
481,250,147,Tpp
482,84,719,Tpp
483,365,309,Tpp
484,57,766,Tpp
485,6,906,Tpp
486,787,858,Tpp
487,417,606,Tpp
488,238,217,Tpp
489,770,684,Tpp
490,506,1017,Tpp
491,886,314,Tpp
492,991,857,Tpp
493,412,203,Tpp
494,892,1016,Tpp
495,814,328,Tpp
496,674,951,Tpp
497,687,719,Tpp
498,405,55,Tpp
499,838,62,Tpp
500,988,637,Tpp
501,67,615,Tpp
502,341,356,Tpp
503,848,315,Tpp
504,200,125,Tpp
505,271,251,Tpp
506,80,639,Tpp
507,360,662,Tpp
508,720,86,Tpp
509,682,936,Tpp
510,161,822,Tpp
511,65,834,Tpp
512,57,996,Tpp
513,47,605,Tpp
514,669,18,Tpp
515,727,353,Tpp
516,467,605,Tpp
517,657,86,Tpp
518,502,43,Tpp
519,962,591,Tpp
520,836,131,Tpp
521,978,107,Tpp
522,952,130,Tpp
523,220,502,Tpp
524,86,798,Tpp
525,939,198,Tpp
526,644,109,Tpp
527,254,869,Tpp
528,160,79,Tpp
529,168,112,Tpp
530,918,397,Tpp
531,158,885,Tpp
532,277,285,Tpp
533,367,11,Tpp
534,1,114,Tpp
535,817,352,Tpp
536,923,659,Tpp
537,880,351,Tpp
538,816,536,Tpp
539,863,246,Tpp
540,339,32,Tpp
541,396,845,Tpp
542,161,446,Tpp
543,797,960,Tpp
544,657,982,Tpp
545,804,421,Tpp
546,42,662,Tpp
547,899,408,Tpp
548,477,835,Tpp
549,104,136,Tpp
550,912,222,Tpp
551,245,710,Tpp
552,799,454,Tpp
553,733,363,Tpp
554,477,111,Tpp
555,888,39,Tpp
556,1007,303,Tpp
557,361,135,Tpp
558,248,972,Tpp
559,98,605,Tpp
560,934,28,Tpp
561,393,744,Tpp
562,172,11,Tpp
563,437,640,Tpp
564,982,373,Tpp
565,862,833,Tpp
566,1017,152,Tpp
567,898,752,Tpp
568,60,628,Tpp
569,968,465,Tpp
570,52,754,Tpp
571,52,367,Tpp
572,187,332,Tpp
573,345,917,Tpp
574,712,628,Tpp
575,662,8,Tpp
576,1020,671,Tpp
577,943,951,Tpp
578,1003,221,Tpp
579,315,425,Tpp
580,969,326,Tpp
581,116,90,Tpp
582,836,292,Tpp
583,1019,649,Tpp
584,545,675,Tpp
585,772,386,Tpp
586,353,698,Tpp
587,40,274,Tpp
588,759,523,Tpp
589,149,514,Tpp
590,739,537,Tpp
591,855,29,Tpp
592,681,835,Tpp
593,58,172,Tpp
594,482,100,Tpp
595,502,708,Tpp
596,443,124,Tpp
597,507,100,Tpp
598,136,102,Tpp
599,289,11,Tpp
600,991,83,Tpp
601,360,111,Tpp
602,485,845,Tpp
603,232,342,Tpp
604,517,858,Tpp
605,501,685,Tpp
606,168,502,Tpp
607,828,995,Tpp
608,700,994,Tpp
609,637,123,Tpp
610,489,87,Tpp
611,791,235,Tpp
612,944,236,Tpp
613,284,640,Tpp
614,573,168,Tpp
615,309,412,Tpp
616,826,719,Tpp
617,418,216,Tpp
618,206,319,Tpp
619,541,225,Tpp
620,73,675,Tpp
621,503,787,Tpp
622,71,743,Tpp
623,946,120,Tpp
624,533,9,Tpp
625,443,766,Tpp
626,110,355,Tpp
627,45,997,Tpp
628,881,144,Tpp
629,759,108,Tpp
630,682,388,Tpp
631,686,284,Tpp
632,644,41,Tpp
633,195,295,Tpp
634,289,124,Tpp
635,15,205,Tpp
636,560,55,Tpp
637,160,402,Tpp
638,815,236,Tpp
639,919,719,Tpp
640,991,60,Tpp
641,900,223,Tpp
642,1002,960,Tpp
643,611,401,Tpp
644,219,43,Tpp
645,1007,488,Tpp
646,982,257,Tpp
647,258,296,Tpp
648,1006,719,Tpp
649,148,469,Tpp
650,3,615,Tpp
651,211,171,Tpp
652,308,938,Tpp
653,161,846,Tpp
654,277,907,Tpp
655,912,384,Tpp
656,284,686,Tpp
657,502,478,Tpp
658,700,353,Tpp
659,703,468,Tpp
660,336,181,Tpp
661,64,182,Tpp
662,802,212,Tpp
663,147,56,Tpp
664,971,819,Tpp
665,417,32,Tpp
666,277,378,Tpp
667,417,537,Tpp
668,746,858,Tpp
669,481,55,Tpp
670,73,628,Tpp
671,751,536,Tpp
672,161,149,Tpp
673,32,973,Tpp
674,655,708,Tpp
675,1022,951,Tpp
676,464,134,Tpp
677,174,744,Tpp
678,893,143,Tpp
679,327,10,Tpp
680,722,788,Tpp
681,250,746,Tpp
682,817,52,Tpp
683,918,235,Tpp
684,933,188,Tpp
685,681,317,Tpp
686,944,995,Tpp
687,347,616,Tpp
688,470,124,Tpp
689,694,961,Tpp
690,887,84,Tpp
691,841,305,Tpp
692,571,309,Tpp
693,807,870,Tpp
694,297,571,Tpp
695,803,257,Tpp
696,257,388,Tpp
697,167,66,Tpp
698,104,412,Tpp
699,837,810,Tpp
700,137,605,Tpp
701,915,61,Tpp
702,412,134,Tpp
703,457,263,Tpp
704,892,951,Tpp
705,493,629,Tpp
706,804,444,Tpp
707,237,125,Tpp
708,291,469,Tpp
709,650,31,Tpp
710,257,157,Tpp
711,701,331,Tpp
712,944,304,Tpp
713,681,271,Tpp
714,1013,359,Tpp
715,17,661,Tpp
716,112,468,Tpp
717,845,939,Tpp
718,507,745,Tpp
719,437,203,Tpp
720,565,110,Tpp
721,297,663,Tpp
722,130,182,Tpp
723,938,129,Tpp
724,789,1017,Tpp
725,836,199,Tpp
726,490,134,Tpp
727,943,419,Tpp
728,572,447,Tpp
729,580,156,Tpp
730,154,836,Tpp
731,513,19,Tpp
732,619,133,Tpp
733,383,869,Tpp
734,968,558,Tpp
735,77,67,Tpp
736,739,121,Tpp
737,917,973,Tpp
738,218,158,Tpp
739,296,135,Tpp
740,98,447,Tpp
741,968,695,Tpp
742,6,173,Tpp
743,887,199,Tpp
744,636,742,Tpp
745,207,732,Tpp
746,656,937,Tpp
747,932,167,Tpp
748,835,707,Tpp
749,791,52,Tpp
750,275,950,Tpp
751,292,869,Tpp
752,373,663,Tpp
753,777,973,Tpp
754,521,698,Tpp
755,213,584,Tpp
756,520,32,Tpp
757,71,104,Tpp
758,46,356,Tpp
759,817,144,Tpp
760,956,604,Tpp
761,301,101,Tpp
762,161,102,Tpp
763,605,295,Tpp
764,540,754,Tpp
765,451,110,Tpp
766,712,674,Tpp
767,482,192,Tpp
768,925,245,Tpp
769,714,399,Tpp
770,703,422,Tpp
771,386,640,Tpp
772,93,479,Tpp
773,515,273,Tpp
774,881,120,Tpp
775,899,337,Tpp
776,494,951,Tpp
777,630,294,Tpp
778,787,883,Tpp
779,955,580,Tpp
780,168,547,Tpp
781,354,240,Tpp
782,263,1018,Tpp
783,508,122,Tpp
784,758,131,Tpp
785,681,410,Tpp
786,739,330,Tpp
787,278,800,Tpp
788,945,95,Tpp
789,993,372,Tpp
790,437,367,Tpp
791,245,640,Tpp
792,853,720,Tpp
793,982,605,Tpp
794,194,686,Tpp
795,773,86,Tpp
796,213,653,Tpp
797,50,893,Tpp
798,21,470,Tpp
799,220,663,Tpp
800,148,402,Tpp
801,504,834,Tpp
802,849,61,Tpp
803,776,905,Tpp
804,67,592,Tpp
805,752,75,Tpp
806,809,729,Tpp
807,856,98,Tpp
808,811,570,Tpp
809,893,535,Tpp
810,224,56,Tpp
811,822,729,Tpp
812,71,845,Tpp
813,1017,857,Tpp
814,231,65,Tpp
815,708,63,Tpp
816,643,318,Tpp
817,206,135,Tpp
818,29,810,Tpp
819,705,685,Tpp
820,958,142,Tpp
821,727,259,Tpp
822,431,32,Tpp
823,995,627,Tpp
824,766,490,Tpp
825,443,424,Tpp
826,938,637,Tpp
827,891,696,Tpp
828,822,291,Tpp
829,593,42,Tpp
830,870,820,Tpp
831,290,147,Tpp
832,534,972,Tpp
833,955,303,Tpp
834,195,456,Tpp
835,134,401,Tpp
836,687,377,Tpp
837,438,732,Tpp
838,648,994,Tpp
839,597,32,Tpp
840,431,333,Tpp
841,892,421,Tpp
842,252,584,Tpp
843,956,257,Tpp
844,823,362,Tpp
845,803,52,Tpp
846,675,261,Tpp
847,559,628,Tpp
848,451,226,Tpp
849,85,628,Tpp
850,67,478,Tpp
851,246,296,Tpp
852,712,906,Tpp
853,205,1005,Tpp
854,789,280,Tpp
855,41,615,Tpp
856,599,697,Tpp
857,592,109,Tpp
858,866,697,Tpp
859,136,514,Tpp
860,192,43,Tpp
861,773,246,Tpp
862,810,199,Tpp
863,984,234,Tpp
864,829,120,Tpp
865,825,787,Tpp
866,130,90,Tpp
867,482,995,Tpp
868,39,983,Tpp
869,304,824,Tpp
870,534,698,Tpp
871,61,798,Tpp
872,692,662,Tpp
873,308,708,Tpp
874,662,491,Tpp
875,443,950,Tpp
876,624,469,Tpp
877,605,834,Tpp
878,937,728,Tpp
879,952,222,Tpp
880,314,491,Tpp
881,747,835,Tpp
882,721,270,Tpp
883,947,74,Tpp
884,85,846,Tpp
885,643,18,Tpp
886,725,674,Tpp
887,798,246,Tpp
888,855,421,Tpp
889,173,194,Tpp
890,245,617,Tpp
891,803,351,Tpp
892,879,397,Tpp
893,951,268,Tpp
894,421,869,Tpp
895,810,960,Tpp
896,976,591,Tpp
897,123,126,Tpp
898,753,845,Tpp
899,266,869,Tpp
900,773,363,Tpp
901,784,223,Tpp
902,356,822,Tpp
903,989,567,Tpp
904,245,756,Tpp
905,816,513,Tpp
906,739,237,Tpp
907,798,500,Tpp
908,713,973,Tpp
909,405,537,Tpp
910,193,227,Tpp
911,981,488,Tpp
912,931,234,Tpp
913,55,455,Tpp
914,1,938,Tpp
915,305,869,Tpp
916,156,90,Tpp
917,679,870,Tpp
918,169,663,Tpp
919,687,628,Tpp
920,605,342,Tpp
921,277,262,Tpp
922,21,605,Tpp
923,978,38,Tpp
924,80,593,Tpp
925,674,400,Tpp
926,771,961,Tpp
927,753,353,Tpp
928,476,616,Tpp
929,866,420,Tpp
930,194,342,Tpp
931,102,916,None
932,291,333,Tpp
933,424,593,Tpp
934,96,241,Tpp
935,83,80,Tpp
936,483,951,Tpp
937,586,168,Tpp
938,426,156,Tpp
939,957,211,Tpp
940,757,939,Tpp
941,714,167,Tpp
942,249,56,Tpp
943,34,264,Tpp
944,584,582,Tpp
945,411,707,Tpp
946,618,87,Tpp
947,239,537,Tpp
948,327,951,Tpp
949,989,290,Tpp
950,598,332,Tpp
951,200,285,Tpp
952,291,516,Tpp
953,489,501,Tpp
954,214,561,Tpp
955,240,869,Tpp
956,95,56,Tpp
957,719,638,Tpp
958,599,54,Tpp
959,682,155,Tpp
960,348,157,Tpp
961,443,263,Tpp
962,964,245,Tpp
963,895,75,Tpp
964,521,285,Tpp
965,726,213,Tpp
966,464,320,Tpp
967,839,697,Tpp
968,953,834,Tpp
969,437,982,Tpp
970,14,67,None
971,483,721,Tpp
972,785,339,Tpp
973,156,318,Tpp
974,117,296,Tpp
975,116,835,Tpp
976,747,176,Tpp
977,265,285,Tpp
978,310,790,Tpp
979,792,121,Tpp
980,915,16,Tpp
981,721,364,Tpp
982,763,906,Tpp
983,277,446,Tpp
984,348,663,Tpp
985,45,195,Tpp
986,221,859,Tpp
987,996,142,Tpp
988,591,319,Tpp
989,51,1007,Tpp
990,141,136,Tpp
991,578,457,Tpp
992,700,698,Tpp
993,706,835,Tpp
994,956,883,Tpp
995,91,251,Tpp
996,289,217,Tpp
997,16,569,Tpp
998,490,43,Tpp
999,900,833,Tpp
1000,929,258,Tpp
1001,816,421,Tpp
1002,220,617,Tpp
1003,224,470,Tpp
1004,379,101,Tpp
1005,36,868,Tpp
1006,567,179,Tpp
1007,431,240,Tpp
1008,181,525,Tpp
1009,104,858,Tpp
1010,181,135,Tpp
1011,156,412,Tpp
1012,299,883,Tpp
1013,820,868,Tpp
1014,674,354,Tpp
1015,900,961,Tpp
1016,649,742,Tpp
1017,533,469,Tpp
1018,882,844,Tpp
1019,519,629,Tpp
1020,924,893,Tpp
1021,777,928,Tpp
1022,514,249,Tpp
1023,481,697,Tpp
1024,406,101,Tpp
1025,245,663,Tpp
1026,905,374,Tpp
1027,958,120,Tpp
1028,881,98,Tpp
1029,109,33,Tpp
1030,809,222,Tpp
1031,958,73,Tpp
1032,539,662,Tpp
1033,142,366,Tpp
1034,226,630,Tpp
1035,182,502,Tpp
1036,694,87,Tpp
1037,598,1018,Tpp
1038,1,67,None
1039,117,205,Tpp
1040,302,378,Tpp
1041,55,592,Tpp
1042,296,66,Tpp
1043,449,915,Tpp
1044,875,858,Tpp
1045,515,43,Tpp
1046,425,87,Tpp
1047,906,304,Tpp
1048,450,65,Tpp
1049,919,443,Tpp
1050,419,55,Tpp
1051,900,592,Tpp
1052,298,343,Tpp
1053,905,212,Tpp
1054,206,836,Tpp
1055,218,319,Tpp
1056,160,125,Tpp
1057,560,32,Tpp
1058,969,905,Tpp
1059,815,673,Tpp
1060,839,882,Tpp
1061,264,676,Tpp
1062,316,11,Tpp
1063,879,212,Tpp
1064,295,43,Tpp
1065,48,582,Tpp
1066,1020,512,Tpp
1067,315,537,Tpp
1068,450,133,Tpp
1069,1002,290,Tpp
1070,449,616,Tpp
1071,419,147,Tpp
1072,939,222,Tpp
1073,130,228,Tpp
1074,210,994,Tpp
1075,944,281,Tpp
1076,161,354,Tpp
1077,734,247,Tpp
1078,572,215,Tpp
1079,53,545,Tpp
1080,521,262,Tpp
1081,876,39,Tpp
1082,321,593,Tpp
1083,206,617,Tpp
1084,695,364,Tpp
1085,490,811,Tpp
1086,515,731,Tpp
1087,317,870,Tpp
1088,868,443,Tpp
1089,449,413,Tpp
1090,1008,257,Tpp
1091,290,824,Tpp
1092,689,926,Tpp
1093,403,882,Tpp
1094,213,285,Tpp
1095,981,697,Tpp
1096,128,894,Tpp
1097,92,615,Tpp
1098,97,356,Tpp
1099,618,834,Tpp
1100,482,333,Tpp
1101,15,916,Tpp
1102,1004,833,Tpp
1103,244,733,Tpp
1104,931,604,Tpp
1105,824,84,Tpp
1106,182,663,Tpp
1107,804,1017,Tpp
1108,40,114,Tpp
1109,28,228,Tpp
1110,955,626,Tpp
1111,232,182,Tpp
1112,810,131,Tpp
1113,78,160,Tpp
1114,225,79,Tpp
1115,53,810,Tpp
1116,493,605,Tpp
1117,132,995,Tpp
1118,367,401,Tpp
1119,79,662,Tpp
1120,276,928,Tpp
1121,546,652,Tpp
1122,552,731,Tpp
1123,771,153,Tpp
1124,943,581,Tpp
1125,675,144,Tpp
1126,778,376,Tpp
1127,892,398,Tpp
1128,401,523,Tpp
1129,148,744,Tpp
1130,881,819,Tpp
1131,148,355,Tpp
1132,461,616,Tpp
1133,507,513,Tpp
1134,451,202,Tpp
1135,180,44,Tpp
1136,430,425,Tpp
1137,425,435,Tpp
1138,765,399,Tpp
1139,514,64,Tpp
1140,591,18,Tpp
1141,957,326,Tpp
1142,310,859,Tpp
1143,194,547,Tpp
1144,34,820,Tpp
1145,623,492,Tpp
1146,792,352,Tpp
1147,467,535,Tpp
1148,880,420,Tpp
1149,129,136,Tpp
1150,437,937,Tpp
1151,238,630,Tpp
1152,438,156,Tpp
1153,142,412,Tpp
1154,78,366,Tpp
1155,513,663,Tpp
1156,65,344,Tpp
1157,491,857,Tpp
1158,65,753,Tpp
1159,912,753,Tpp
1160,745,684,Tpp
1161,986,868,Tpp
1162,244,89,Tpp
1163,129,754,Tpp
1164,521,147,Tpp
1165,1008,211,Tpp
1166,840,328,Tpp
1167,490,834,Tpp
1168,689,470,Tpp
1169,244,686,Tpp
1170,477,982,Tpp
1171,200,652,Tpp
1172,360,617,Tpp
1173,144,662,Tpp
1174,91,228,Tpp
1175,457,401,Tpp
1176,759,387,Tpp
1177,423,1005,Tpp
1178,225,286,Tpp
1179,694,936,Tpp
1180,437,89,Tpp
1181,533,285,Tpp
1182,766,536,Tpp
1183,739,513,Tpp
1184,327,56,Tpp
1185,954,787,Tpp
1186,673,698,Tpp
1187,980,397,Tpp
1188,271,204,Tpp
1189,983,212,Tpp
1190,310,813,Tpp
1191,997,820,Tpp
1192,259,319,Tpp
1193,335,412,Tpp
1194,878,719,Tpp
1195,913,833,Tpp
1196,482,492,Tpp
1197,691,869,Tpp
1198,527,319,Tpp
1199,257,617,Tpp
1200,977,1005,Tpp
1201,836,155,Tpp
1202,494,446,Tpp
1203,361,732,Tpp
1204,413,685,Tpp
1205,925,106,Tpp
1206,105,592,Tpp
1207,554,982,Tpp
1208,302,33,Tpp
1209,804,489,Tpp
1210,353,652,Tpp
1211,778,75,Tpp
1212,970,951,Tpp
1213,950,291,Tpp
1214,109,80,Tpp
1215,162,515,Tpp
1216,457,192,Tpp
1217,244,319,Tpp
1218,962,544,Tpp
1219,258,204,Tpp
1220,951,728,Tpp
1221,605,201,Tpp
1222,194,158,Tpp
1223,466,834,Tpp
1224,298,790,Tpp
1225,152,1005,Tpp
1226,103,113,Tpp
1227,573,55,Tpp
1228,271,457,Tpp
1229,981,673,Tpp
1230,200,607,Tpp
1231,200,240,Tpp
1232,348,227,Tpp
1233,198,995,Tpp
1234,661,377,Tpp
1235,425,18,Tpp
1236,803,581,Tpp
1237,431,310,Tpp
1238,199,469,Tpp
1239,3,321,Tpp
1240,975,360,Tpp
1241,450,662,Tpp
1242,708,341,Tpp
1243,111,446,Tpp
1244,200,744,Tpp
